abed                 2378
vestibule            3016, 3193, 3237
vexedly              3950
vibrated             3152, 6021
vicious              433
view                 887
viewed               7580
viewing              7628
vigor                259
vigorously           257, 827
vii                  55, 1533
viii                 56, 1733
village              1757, 5655, 7084
violates             7719
violently            4852
violet               4545, 4609
virtues              5518
virus                7682
visible              1349, 2840
visibly              585, 4481, 6891, 7155
vision               3262
visit                56, 1555, 1733, 2358, 2675, 3561, 3961, 4314, 4549, 4811, 6044, 6655, 6819, 7800, 7814
visitor              2044, 4272
visits               75, 4474, 6380, 6722, 6900
vivid                3126, 3937, 5343, 6274
vividly              4334
voice                106, 390, 478, 649, 1446, 1491, 1673, 1785, 1882, 2260, 2388, 2398, 2587, 2760, 3059, 3465, 3507, 3526, 3548, 3639, 3647, 3659, 3712, 3766, 3844, 3942, 3987, 4049, 4204, 4265, 4281, 4321, 4379, 4644, 4731, 4790, 4900, 4909, 4981, 5163, 5202, 5341, 5425, 5666, 5770, 5943, 5989, 5996, 5996, 6036, 6090, 6410, 6416, 6454, 6470, 6504, 6793, 6850, 6995, 7021, 7071, 7079, 7160, 7319, 7389, 7408
voices               3322
void                 7723
volcano              1543
volubility           6695
volunteer            7823
volunteers           7674, 7728, 7742, 7745, 7745, 7769
vouchsafed           1488, 2214, 3802
vowed                677
wager                4998
wages                380
wagging              5297
waifs                7109
wailed               953, 5697
wait                 449, 1961, 3413, 3507, 3810, 4026, 5934
waited               1543, 4694, 5413, 6392
waitin               5856, 6120
waiting              73, 776, 2293, 3805, 4158, 4888, 6041, 6114, 6237, 6675, 7285
waits                2180
walk                 1542, 1549, 1762, 1768, 2916, 3113, 3185, 4810, 6300, 6339, 6356, 6373, 6407, 6464, 6499, 6668, 6769, 6844, 7138, 7203, 7214, 7289, 7291, 7328, 7334, 7354, 7445, 7451, 7458, 7458, 7458, 7464, 7466, 7469
walked               763, 1231, 1661, 1775, 2964, 5483, 5796, 7450
walkin               6443, 7293, 7302
walking              6872
walks                1769, 6763, 6764, 6792, 7743
wall                 405, 780, 805, 858, 2791, 4610
walls                3262, 3633
want                 163, 172, 736, 1187, 1410, 1468, 1971, 2238, 2268, 2271, 2279, 2282, 2287, 2291, 2299, 2311, 2322, 2349, 2495, 2759, 2760, 2764, 2851, 2880, 2980, 3003, 3010, 3053, 3099, 4025, 4092, 4131, 4178, 4188, 4324, 4327, 4334, 4365, 4398, 4474, 4599, 4707, 4713, 4815, 4849, 4870, 4879, 4945, 4946, 4992, 5004, 5034, 5132, 5180, 5220, 5274, 5461, 5582, 5608, 5754, 5754, 6047, 6056, 6320, 6320, 6331, 6332, 6332, 6684, 6687, 6690, 6713, 6774, 6864, 7165, 7165, 7220, 7391, 7394, 7465
wanted               220, 483, 498, 534, 553, 1068, 1081, 1114, 1494, 1719, 1849, 1887, 1894, 1938, 2196, 2262, 2300, 2309, 2423, 2514, 2519, 2621, 2754, 2902, 3278, 3398, 4181, 4184, 4307, 4329, 4367, 4368, 4371, 4776, 4871, 4875, 4928, 4944, 5013, 5025, 5050, 5112, 5130, 5131, 5221, 5480, 5643, 5894, 5999, 6028, 6028, 6054, 6277, 6277, 6580, 6885, 6991, 6992, 7006, 7056, 7057, 7075, 7280, 7422, 7457
wantin               6491, 6936
wanting              1110, 1914, 2290, 2408, 2683, 3011, 4109, 4332, 4334, 4892, 6698
wants                2182, 2834, 3054, 3054, 4440, 4871, 5127, 5180, 5733, 6639, 7274, 7334
ward                 7450
wardrobe             1539
warm                 1305, 3114, 4472
warming              3700
warned               5934
warrant              956, 956, 4993, 5510
warranties           7714, 7715, 7718
warranty             7685, 7692
warren               4521, 4524, 4527, 5656, 5956, 6048, 6266, 6267, 6271, 6286, 6310, 6538, 7224, 7228, 7345, 7368, 7371, 7375, 7384, 7395, 7404
was                  94, 106, 114, 122, 130, 135, 157, 169, 171, 182, 188, 191, 240, 245, 248, 249, 259, 260, 261, 288, 288, 310, 312, 314, 353, 378, 407, 408, 434, 438, 441, 442, 442, 443, 445, 447, 451, 452, 453, 462, 466, 472, 491, 501, 524, 537, 570, 587, 597, 601, 639, 652, 653, 662, 662, 693, 734, 737, 742, 745, 764, 768, 769, 776, 777, 780, 783, 814, 856, 856, 864, 878, 890, 890, 901, 903, 904, 904, 909, 910, 919, 936, 940, 947, 965, 1019, 1019, 1029, 1056, 1076, 1108, 1108, 1134, 1150, 1180, 1194, 1199, 1202, 1209, 1242, 1247, 1252, 1263, 1289, 1300, 1318, 1333, 1337, 1366, 1369, 1371, 1374, 1400, 1466, 1505, 1519, 1520, 1569, 1587, 1595, 1600, 1610, 1620, 1627, 1628, 1643, 1651, 1658, 1663, 1672, 1682, 1693, 1706, 1724, 1724, 1725, 1726, 1727, 1728, 1729, 1735, 1741, 1745, 1752, 1756, 1769, 1774, 1775, 1776, 1777, 1791, 1816, 1819, 1821, 1821, 1822, 1860, 1871, 1883, 1887, 1893, 1914, 1936, 1936, 1958, 1985, 2066, 2066, 2092, 2095, 2100, 2128, 2160, 2161, 2191, 2280, 2292, 2300, 2308, 2317, 2327, 2358, 2364, 2365, 2381, 2383, 2388, 2406, 2418, 2436, 2437, 2467, 2469, 2496, 2513, 2522, 2527, 2561, 2577, 2587, 2599, 2614, 2620, 2655, 2662, 2663, 2677, 2677, 2679, 2680, 2682, 2682, 2687, 2689, 2708, 2737, 2738, 2747, 2806, 2839, 2847, 2851, 2854, 2863, 2897, 2922, 2943, 2966, 2966, 2967, 2973, 2976, 2993, 2996, 3000, 3038, 3046, 3066, 3070, 3071, 3074, 3082, 3084, 3088, 3089, 3090, 3091, 3111, 3112, 3116, 3120, 3138, 3138, 3142, 3142, 3143, 3157, 3171, 3226, 3227, 3238, 3241, 3247, 3251, 3254, 3254, 3257, 3269, 3301, 3307, 3312, 3332, 3341, 3371, 3371, 3373, 3387, 3390, 3427, 3431, 3450, 3479, 3487, 3507, 3543, 3543, 3562, 3570, 3628, 3632, 3634, 3637, 3637, 3639, 3642, 3651, 3656, 3659, 3700, 3723, 3752, 3766, 3771, 3772, 3778, 3794, 3841, 3843, 3847, 3860, 3862, 3870, 3875, 3884, 3894, 3912, 3916, 3922, 3925, 3927, 3961, 3962, 3976, 3999, 4007, 4011, 4014, 4018, 4061, 4083, 4092, 4101, 4105, 4204, 4245, 4248, 4257, 4257, 4258, 4278, 4278, 4278, 4295, 4295, 4297, 4301, 4305, 4314, 4314, 4315, 4321, 4332, 4333, 4334, 4355, 4375, 4375, 4377, 4389, 4395, 4397, 4397, 4413, 4420, 4435, 4438, 4458, 4466, 4475, 4479, 4484, 4486, 4494, 4499, 4505, 4524, 4540, 4543, 4552, 4560, 4563, 4563, 4570, 4594, 4603, 4603, 4605, 4616, 4642, 4644, 4668, 4668, 4671, 4672, 4674, 4680, 4687, 4693, 4731, 4745, 4776, 4816, 4833, 4857, 4871, 4877, 4895, 4909, 4915, 4917, 4927, 4934, 4935, 4967, 4976, 4976, 4978, 4978, 5011, 5013, 5043, 5046, 5051, 5053, 5059, 5061, 5068, 5090, 5095, 5105, 5109, 5122, 5123, 5135, 5136, 5137, 5138, 5140, 5143, 5186, 5190, 5190, 5215, 5216, 5228, 5238, 5244, 5286, 5291, 5300, 5308, 5317, 5340, 5347, 5350, 5354, 5357, 5369, 5384, 5387, 5394, 5396, 5397, 5398, 5398, 5403, 5410, 5413, 5425, 5428, 5428, 5435, 5453, 5465, 5477, 5488, 5490, 5491, 5491, 5511, 5530, 5545, 5546, 5547, 5596, 5612, 5619, 5636, 5646, 5650, 5651, 5652, 5653, 5654, 5656, 5658, 5659, 5661, 5662, 5700, 5702, 5708, 5710, 5711, 5789, 5797, 5799, 5799, 5818, 5826, 5829, 5830, 5834, 5834, 5876, 5884, 5889, 5893, 5894, 5900, 5902, 5904, 5907, 5924, 5925, 5936, 5943, 5964, 5988, 5996, 6007, 6014, 6016, 6054, 6059, 6072, 6090, 6115, 6147, 6160, 6187, 6187, 6194, 6212, 6220, 6228, 6230, 6231, 6238, 6241, 6250, 6253, 6254, 6260, 6261, 6267, 6289, 6303, 6310, 6323, 6342, 6371, 6382, 6382, 6390, 6409, 6421, 6454, 6469, 6470, 6482, 6485, 6491, 6491, 6492, 6502, 6512, 6515, 6527, 6542, 6543, 6598, 6599, 6600, 6629, 6634, 6648, 6649, 6655, 6679, 6679, 6680, 6694, 6694, 6697, 6697, 6703, 6710, 6711, 6727, 6729, 6756, 6763, 6765, 6767, 6769, 6815, 6823, 6835, 6837, 6850, 6856, 6869, 6874, 6895, 6936, 6938, 6941, 6952, 7000, 7032, 7078, 7084, 7085, 7105, 7106, 7107, 7108, 7111, 7113, 7115, 7126, 7127, 7129, 7147, 7155, 7162, 7163, 7173, 7192, 7196, 7201, 7214, 7280, 7291, 7319, 7321, 7321, 7330, 7341, 7347, 7349, 7353, 7356, 7359, 7362, 7364, 7371, 7372, 7399, 7400, 7411, 7432, 7446, 7447, 7452, 7749
washed               2094
washes               7453
washin               578, 5696, 5697
washing              97, 2827
washstand            404
wasn                 306, 497, 532, 878, 1269, 1442, 2506, 2521, 2765, 2952, 3011, 3651, 3653, 3703, 3723, 3768, 3904, 4060, 4194, 4333, 4528, 4833, 5096, 5595, 5893, 6062, 6937, 7454, 7459
wasted               1481, 2419
watch                464, 1762, 5528
watched              3139
watchers             7135
watching             2963, 3306, 4570, 7363, 7385
water                800, 950, 6367
waves                4080, 6239
waving               1978
way                  122, 266, 438, 486, 545, 603, 607, 868, 917, 920, 968, 1103, 1179, 1187, 1217, 1431, 1508, 1617, 1621, 1632, 1638, 1649, 1817, 1871, 1895, 1964, 2039, 2313, 2409, 2569, 2651, 3027, 3101, 3117, 3148, 3294, 3396, 3397, 3405, 3587, 3631, 3638, 3835, 3891, 3914, 3915, 3998, 4023, 4250, 4496, 4812, 4896, 5045, 5069, 5120, 5288, 5357, 5422, 5523, 6194, 6428, 6450, 6515, 6680, 6998, 7024, 7042, 7046, 7142, 7219, 7446, 7464, 7518, 7539
ways                 3294, 3748, 4671, 4672, 5118, 5482, 6724, 6766, 6868, 7813
weakened             5517
wealth               220, 221
wealthiest           129
wealthy              6568
wear                 367, 1502, 2076, 6153, 6750
wearily              2429, 2978, 3486, 4556, 6663, 7283
wearin               6140
weariness            3865
wears                7035
weather              2104
web                  7621, 7753, 7773, 7811, 7832, 7836
wedding              7459
wednesday            1452
wednesdays           1753
weedin               6194, 7321
weeds                284, 7212
week                 1444, 1545, 1820, 1847, 2229, 2229, 2669, 3431, 3435, 3483, 3515, 3961, 4103, 5227, 5309, 5782, 6122, 6260, 6844, 6976, 6976, 7435, 7450
weeks                186, 5244
weeping              5654, 6510
weight               1216
weightier            5336
welcome              164, 3301
welcomed             244, 5104
well                 143, 151, 169, 213, 222, 227, 276, 280, 331, 371, 437, 445, 458, 537, 543, 638, 676, 711, 721, 800, 937, 940, 962, 968, 1003, 1010, 1047, 1073, 1080, 1089, 1094, 1127, 1168, 1171, 1259, 1369, 1434, 1488, 1575, 1575, 1581, 1592, 1606, 1765, 1810, 1834, 1846, 1857, 1869, 1900, 1913, 1929, 1945, 1957, 2019, 2031, 2043, 2058, 2062, 2063, 2102, 2109, 2117, 2124, 2139, 2225, 2236, 2245, 2264, 2276, 2295, 2347, 2357, 2359, 2388, 2397, 2431, 2432, 2444, 2572, 2678, 2729, 2741, 2802, 2830, 2907, 3052, 3059, 3192, 3271, 3280, 3304, 3329, 3346, 3394, 3412, 3429, 3458, 3548, 3624, 3667, 3671, 3718, 3729, 3752, 3757, 3808, 3816, 3823, 3833, 3869, 3909, 3953, 4044, 4105, 4242, 4248, 4284, 4284, 4304, 4355, 4555, 4624, 4668, 4739, 4759, 4879, 4907, 4941, 5012, 5017, 5017, 5027, 5033, 5064, 5080, 5140, 5152, 5231, 5310, 5316, 5433, 5442, 5694, 5762, 5786, 5792, 5823, 5844, 5860, 5877, 5888, 5897, 5979, 6020, 6049, 6139, 6159, 6163, 6198, 6215, 6223, 6398, 6401, 6403, 6441, 6446, 6482, 6484, 6544, 6552, 6580, 6626, 6727, 6822, 6845, 6870, 6878, 6974, 7008, 7013, 7030, 7127, 7168, 7170, 7181, 7198, 7266, 7282, 7310, 7316, 7321, 7332, 7347
went                 142, 216, 314, 588, 883, 886, 929, 985, 1140, 1319, 1450, 1609, 1915, 1936, 2215, 2228, 2254, 2311, 2564, 2949, 2998, 3220, 3363, 3479, 3565, 3767, 3793, 3917, 3954, 4007, 4274, 4465, 4472, 4810, 4817, 4936, 5269, 5463, 5506, 5557, 5708, 5903, 5919, 5984, 6186, 6235, 6571, 7103
wept                 6508, 6509
were                 133, 192, 241, 242, 258, 404, 407, 431, 446, 509, 511, 525, 717, 734, 782, 790, 1155, 1200, 1223, 1236, 1273, 1303, 1353, 1353, 1372, 1440, 1441, 1441, 1442, 1536, 1554, 1561, 1634, 1636, 1640, 1642, 1698, 1755, 1757, 1861, 1939, 1947, 1948, 2019, 2114, 2128, 2142, 2189, 2190, 2210, 2381, 2395, 2418, 2419, 2419, 2427, 2428, 2472, 2485, 2515, 2516, 2611, 2674, 2826, 2832, 2834, 2863, 2888, 3022, 3073, 3125, 3127, 3154, 3232, 3277, 3307, 3308, 3451, 3479, 3562, 3566, 3633, 3916, 3964, 4078, 4191, 4233, 4252, 4298, 4310, 4315, 4316, 4317, 4326, 4474, 4568, 4609, 4611, 4637, 4654, 4673, 4697, 4865, 4895, 4903, 4915, 4927, 4927, 4944, 4949, 5292, 5294, 5310, 5311, 5346, 5375, 5446, 5732, 5735, 5747, 5830, 5835, 5959, 6004, 6091, 6237, 6238, 6243, 6245, 6618, 6635, 6722, 6723, 6723, 6731, 6817, 6829, 6914, 7056, 7103, 7104, 7120, 7205, 7205, 7404, 7422, 7423, 7423
weren                531, 1222, 1287, 1463, 2393, 2595, 2597, 2844, 3101, 3748, 4909
west                 234, 1195, 3248, 3314, 3403, 5227, 7771
western              181, 808, 4105, 4318, 5490, 5496
wet                  7059, 7314
what                 107, 202, 251, 270, 291, 316, 328, 331, 380, 438, 452, 458, 486, 520, 609, 701, 711, 750, 877, 920, 935, 955, 977, 996, 1001, 1011, 1059, 1077, 1157, 1168, 1279, 1346, 1370, 1463, 1472, 1511, 1519, 1567, 1687, 1748, 1840, 1846, 1853, 1890, 1931, 1995, 2027, 2043, 2049, 2058, 2109, 2127, 2181, 2193, 2271, 2276, 2279, 2287, 2290, 2291, 2291, 2299, 2299, 2309, 2313, 2328, 2337, 2353, 2371, 2374, 2388, 2442, 2448, 2451, 2461, 2499, 2589, 2628, 2682, 2713, 2763, 2818, 2830, 2900, 2902, 2907, 2912, 2921, 2988, 3050, 3070, 3084, 3086, 3088, 3122, 3168, 3187, 3212, 3218, 3268, 3271, 3438, 3443, 3459, 3465, 3474, 3612, 3693, 3708, 3742, 3826, 3886, 3886, 3891, 3899, 3910, 3927, 3974, 3984, 3992, 4042, 4074, 4083, 4088, 4092, 4097, 4113, 4199, 4264, 4358, 4360, 4370, 4375, 4454, 4460, 4490, 4603, 4616, 4627, 4679, 4772, 4789, 4797, 4892, 4893, 4954, 4978, 5028, 5043, 5058, 5072, 5076, 5080, 5095, 5109, 5213, 5255, 5314, 5320, 5378, 5406, 5420, 5433, 5439, 5442, 5469, 5489, 5489, 5508, 5516, 5522, 5591, 5650, 5673, 5713, 5720, 5763, 5784, 5837, 5857, 5869, 5871, 5919, 5922, 5959, 5985, 6003, 6090, 6122, 6147, 6152, 6188, 6216, 6327, 6331, 6364, 6425, 6454, 6458, 6486, 6489, 6511, 6567, 6585, 6628, 6645, 6665, 6672, 6678, 6684, 6688, 6693, 6707, 6708, 6765, 6782, 6798, 6805, 6810, 6870, 6871, 6880, 6906, 6907, 6915, 6923, 6929, 6938, 6944, 6944, 6960, 6973, 7039, 7044, 7110, 7126, 7127, 7128, 7192, 7196, 7196, 7214, 7216, 7220, 7234, 7236, 7248, 7288, 7288, 7304, 7308, 7330, 7343, 7345, 7353, 7423, 7439, 7565
whatever             1053, 5795, 7106
whatsoever           4, 7584
wheedled             6166
wheeled              2855, 5577
wheels               518
when                 106, 126, 132, 135, 218, 258, 314, 381, 473, 497, 657, 662, 674, 794, 811, 863, 920, 937, 946, 1069, 1071, 1081, 1092, 1100, 1103, 1108, 1113, 1187, 1194, 1209, 1221, 1242, 1247, 1258, 1294, 1336, 1371, 1445, 1445, 1491, 1528, 1547, 1586, 1719, 1801, 1887, 1894, 1894, 1924, 1936, 1952, 1954, 2031, 2052, 2161, 2177, 2187, 2190, 2200, 2236, 2315, 2339, 2348, 2384, 2402, 2406, 2497, 2617, 2648, 2649, 2669, 2687, 2748, 2771, 2802, 2806, 2826, 2902, 2954, 2957, 2998, 3001, 3089, 3108, 3111, 3192, 3197, 3204, 3369, 3416, 3482, 3504, 3560, 3677, 3733, 3736, 3851, 3963, 3978, 4002, 4003, 4017, 4045, 4054, 4054, 4062, 4103, 4204, 4229, 4249, 4249, 4275, 4281, 4329, 4438, 4465, 4475, 4488, 4505, 4510, 4529, 4538, 4568, 4574, 4587, 4641, 4650, 4728, 4731, 5025, 5044, 5112, 5204, 5228, 5257, 5269, 5343, 5369, 5445, 5462, 5463, 5463, 5525, 5526, 5604, 5608, 5663, 5780, 5900, 5918, 5925, 5985, 5997, 6035, 6059, 6126, 6147, 6251, 6254, 6297, 6388, 6395, 6460, 6470, 6470, 6471, 6510, 6615, 6657, 6669, 6671, 6682, 6766, 6768, 6850, 6856, 6935, 6982, 6999, 7003, 7040, 7049, 7084, 7249, 7249, 7327, 7454, 7562
whenever             7578
where                140, 463, 639, 766, 782, 782, 860, 948, 949, 949, 954, 964, 1140, 1258, 1267, 1279, 1559, 1620, 1714, 1714, 1989, 2640, 2721, 2731, 2739, 2818, 2945, 2947, 3277, 3422, 3424, 3535, 3953, 4026, 4044, 4110, 4113, 4285, 4774, 5682, 5711, 5757, 7384, 7564, 7798, 7802
whereupon            1528, 2429
wherever             2912, 3965
whether              1745, 2104, 4297
which                57, 67, 68, 80, 110, 180, 181, 283, 532, 775, 882, 909, 911, 978, 1406, 1494, 1536, 1638, 1651, 1776, 2080, 2090, 2093, 2611, 2973, 3095, 3239, 3240, 3263, 3302, 3415, 3779, 3780, 3871, 3887, 3949, 3955, 4233, 4486, 4665, 4807, 4989, 5288, 5325, 5558, 5802, 5831, 5962, 6081, 6107, 6528, 6600, 6723, 7032, 7131, 7142, 7174, 7238, 7443, 7578, 7579, 7642, 7678, 7731, 7827, 7832
while                222, 555, 854, 1554, 1639, 2386, 3300, 3318, 3478, 3639, 4262, 5541, 5655, 7467, 7802
whimsical            3621, 4800
whimsically          3596
whined               3321
whining              3146, 3152
whirl                3238
whisked              3317
whispered            7266
whistle              460
white                208, 368, 533, 537, 607, 630, 643, 647, 708, 717, 1390, 1429, 1585, 1647, 1672, 2332, 2348, 2349, 2351, 2358, 2358, 2359, 2361, 2477, 2534, 2551, 2815, 3414, 3415, 3449, 3772, 3772, 4061, 4105, 4485, 4933, 5542, 5654, 5668, 5722, 5750, 5771, 5799, 6058, 6058, 6317, 6543, 7117
whiter               5704
whites               616
whittier             143, 185, 1807, 1905, 2713, 3026, 3606, 6498, 7203
whittle              2704
whittling            2690
who                  131, 132, 169, 200, 217, 220, 243, 243, 284, 310, 350, 456, 573, 904, 1543, 1643, 1804, 1900, 2160, 2167, 2180, 2617, 2620, 2658, 2666, 2796, 2818, 2845, 2888, 2962, 3011, 3072, 3073, 3075, 3096, 3125, 3486, 3528, 3570, 3577, 3601, 3686, 3725, 3726, 3728, 3752, 3757, 3795, 3875, 3922, 3922, 4128, 4306, 4326, 4389, 4507, 4695, 4857, 4944, 5143, 5224, 5473, 5491, 5491, 5504, 5651, 5651, 5789, 5795, 5834, 5844, 5845, 5906, 6063, 6063, 6072, 6084, 6160, 6274, 6286, 6382, 6566, 6729, 6774, 6821, 6847, 7008, 7089, 7108, 7109, 7110, 7111, 7112, 7113, 7206, 7258, 7286, 7348, 7353, 7356, 7437, 7450, 7451, 7453, 7539, 7649, 7804
whole                513, 1387, 1985, 2929, 3515, 3723, 3726, 3728, 3872, 4199, 4635, 4938, 5521, 6649, 6906, 6920, 6976, 7088, 7088
wholly               1750
whom                 3326, 4457, 4458, 6519, 6822, 6823, 7536
whooping             5806
whose                2418, 6649
why                  296, 306, 530, 594, 726, 738, 757, 845, 870, 877, 1008, 1036, 1038, 1055, 1064, 1091, 1188, 1282, 1287, 1341, 1360, 1485, 1567, 1600, 1691, 1804, 1836, 1842, 1853, 1887, 1892, 1907, 1943, 1953, 1960, 1971, 2024, 2055, 2061, 2072, 2107, 2112, 2121, 2165, 2193, 2282, 2344, 2376, 2450, 2463, 2472, 2491, 2491, 2553, 2567, 2589, 2594, 2650, 2726, 2763, 2780, 2832, 2858, 2873, 2912, 2920, 3174, 3197, 3275, 3372, 3402, 3599, 3716, 3720, 3747, 3821, 3914, 3925, 3944, 3970, 3998, 4005, 4046, 4050, 4052, 4105, 4217, 4217, 4229, 4245, 4246, 4337, 4353, 4366, 4379, 4380, 4410, 4415, 4424, 4441, 4539, 4548, 4618, 4642, 4654, 4707, 4717, 4717, 4739, 4750, 4774, 4797, 4875, 4883, 4895, 4903, 4955, 4963, 4971, 4995, 5033, 5037, 5068, 5075, 5084, 5112, 5120, 5204, 5255, 5420, 5420, 5450, 5465, 5507, 5580, 5589, 5591, 5609, 5628, 5651, 5713, 5713, 5714, 5720, 5736, 5860, 5894, 5918, 6011, 6025, 6352, 6355, 6446, 6480, 6544, 6561, 6620, 6641, 6645, 6705, 6709, 6719, 6807, 6875, 6908, 6981, 6981, 6992, 7024, 7050, 7063, 7068, 7081, 7095, 7292, 7293, 7301, 7327, 7424, 7457, 7467
wicked               819, 819
wide                 660, 781, 790, 805, 890, 1205, 1303, 1627, 1632, 2419, 2474, 2832, 3237, 3273, 3941, 4444, 4900, 4934, 7212, 7785
